"Full Complaint ID","Complaint Year Number","Month Number","Record Create Date","Complaint Precinct Code","Patrol Borough Name","County","Law Code Category Description","Offense Description","PD Code Description","Bias Motive Description","Offense Category","Arrest Date","Arrest Id"
"202507112187917","2025","3","03/04/2025","71","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","PETIT LARCENY","LARCENY,PETIT FROM BUILDING,UN","ANTI-JEWISH","Religion/Religious Practice",,"K37687496"
"202507112418317","2025","6","06/25/2025","71","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37713706"
"202507112424117","2025","6","06/27/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","MAKING TERRORISTIC THREAT","ANTI-JEWISH","Religion/Religious Practice",,"K37714368"
"202507112669717","2025","10","10/22/2025","71","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37743882"
"202507212095117","2025","1","01/14/2025","72","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37704434"
"202507212095117","2025","1","01/14/2025","72","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37704216"
"202507912173717","2025","2","02/09/2025","79","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37691403"
"202507912375917","2025","4","04/22/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","GRAND LARCENY","LARCENY,GRAND FROM PERSON,UNCL","ANTI-JEWISH","Religion/Religious Practice",,"K37698687"
"202507912599917","2025","7","07/07/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","RECKLESS ENDANGERMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37718869"
"202507912599917","2025","7","07/07/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","RECKLESS ENDANGERMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37718877"
"202508112300217","2025","4","04/30/2025","81","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37700846"
"202508312862017","2025","10","10/08/2025","83","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37747968"
"202509412257717","2025","5","05/06/2025","94","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37714095"
"202510112535317","2025","8","08/28/2025","101","PATROL BORO QUEENS SOUTH","QUEENS","FELONY","MISCELLANEOUS PENAL LAW","MENACING 1ST DEGREE (VICT PEAC","ANTI-JEWISH","Religion/Religious Practice",,"Q37713434"
"202512012449817","2025","4","04/29/2025","120","PATROL BORO STATEN ISLAND","RICHMOND","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"S37682436"
"202512012449817","2025","4","04/29/2025","120","PATROL BORO STATEN ISLAND","RICHMOND","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"S37678980"
"202501912387417","2025","4","04/28/2025","19","PATROL BORO MAN NORTH","NEW YORK","FELONY","CRIMINAL MISCHIEF & RELATED OF","CRIMINAL MIS 2 & 3","ANTI-JEWISH","Religion/Religious Practice",,"M37695980"
"202507812407117","2025","8","08/03/2025","78","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF, CRIMINAL 4, OF MOTOR","ANTI-JEWISH","Religion/Religious Practice",,"K37722527"
"202511012396717","2025","4","04/07/2025","110","PATROL BORO QUEENS NORTH","QUEENS","MISDEMEANOR","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF, CRIMINAL 4, OF MOTOR","ANTI-JEWISH","Religion/Religious Practice",,"Q37693305"
"202506112449817","2025","6","06/15/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37732810"
"202506212769717","2025","10","10/15/2025","62","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37746205"
"202507012214317","2025","2","02/28/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37686591"
"202507112142917","2025","2","02/08/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37681091"
"202507112143117","2025","2","02/08/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37681115"
"202507112187117","2025","3","03/03/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37688986"
"202507112261217","2025","4","04/09/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37695713"
"202507912766217","2025","8","08/31/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37731543"
"202509012284017","2025","4","04/16/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697836"
"202509012284117","2025","4","04/17/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697840"
"202509012284217","2025","4","04/17/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697841"
"202509012284317","2025","4","04/17/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697842"
"202509012284417","2025","4","04/17/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697847"
"202509012287417","2025","4","04/18/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697843"
"202509012287417","2025","4","04/18/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697856"
"202509012287417","2025","4","04/18/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697860"
"202509012287517","2025","4","04/18/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697848"
"202509412228817","2025","4","04/17/2025","94","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37697845"
"202506112108917","2025","1","01/16/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"K37676770"
"202507012326117","2025","4","04/09/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"K37696999"
"202507812456917","2025","9","09/07/2025","78","PATROL BORO BKLYN SOUTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"K37730342"
"202508112615417","2025","10","10/11/2025","81","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"K37741033"
"202508112616417","2025","10","10/11/2025","81","PATROL BORO BKLYN NORTH","KINGS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"K37741030"
"202510312842117","2025","6","06/30/2025","103","PATROL BORO QUEENS SOUTH","QUEENS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"Q37703686"
"202511012880517","2025","8","08/28/2025","110","PATROL BORO QUEENS NORTH","QUEENS","FELONY","FELONY ASSAULT","ASSAULT 2,1,UNCLASSIFIED","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"Q37713445"
